original_country,original_city,original_date,description,country_modified_for_geo,city_modified_for_geo,date,sec_id,sec_name,id,glat,glon,gcity,gcountry,isGeocoded,split_added,original_line,start_time,end_time,start_time_form,end_time_form,elapsed_days
United Kingdom,London,6-Mar-99,Discussed the U.S. peace plan for Kosovo with special envoy Dole and Foreign Secretary Cook.,United Kingdom,London,,sec-25,Madeleine Korbel Albright,2033,51.5073509,-0.1277583,London,United Kingdom,1,,,9.20696E+11,9.20783E+11,Sat Mar 06 1999 00:00:00 GMT-0500 (EST),Sun Mar 07 1999 00:00:00 GMT-0500 (EST),1
Guatemala,Antigua Guatemala,"March 10���11, 1999",Attended Central American Summit Meeting.,Guatemala,Antigua Guatemala,,sec-25,Madeleine Korbel Albright,2034,14.5585707,-90.729523,Antigua Guatemala,Guatemala,1,,,9.21042E+11,9.21128E+11,Wed Mar 10 1999 00:00:00 GMT-0500 (EST),Thu Mar 11 1999 00:00:00 GMT-0500 (EST),1
Belgium,Brussels,"April 11���13, 1999",Attended NATO Ministerial meeting on the Kosovo crisis.,Belgium,Brussels,,sec-25,Madeleine Korbel Albright,2035,50.8503463,4.3517211,,Belgium,1,,,9.23803E+11,9.23976E+11,Sun Apr 11 1999 00:00:00 GMT-0400 (EDT),Tue Apr 13 1999 00:00:00 GMT-0400 (EDT),2
Norway,Oslo,13-Apr-99,Met with Russian Foreign Minister Ivanov.,Norway,Oslo,,sec-25,Madeleine Korbel Albright,2036,59.9138688,10.7522454,Oslo,Norway,1,,,9.23976E+11,9.24062E+11,Tue Apr 13 1999 00:00:00 GMT-0400 (EDT),Wed Apr 14 1999 00:00:00 GMT-0400 (EDT),1
Belgium,Brussels,4-May-99,Accompanied President Clinton to meetings with senior NATO officials.,Belgium,Brussels,,sec-25,Madeleine Korbel Albright,2037,50.8503463,4.3517211,,Belgium,1,,,9.2579E+11,9.25877E+11,Tue May 04 1999 00:00:00 GMT-0400 (EDT),Wed May 05 1999 00:00:00 GMT-0400 (EDT),1
Germany,Bonn,"May 4���6, 1999",Attended a G-8 Foreign Ministers meeting on the Kosovo conflict.,Germany,Bonn,,sec-25,Madeleine Korbel Albright,2038,50.73743,7.0982068,Bonn,Germany,1,,,9.2579E+11,9.25963E+11,Tue May 04 1999 00:00:00 GMT-0400 (EDT),Thu May 06 1999 00:00:00 GMT-0400 (EDT),2
Germany,"Bonn, Cologne","June 6���11, 1999",Attended a G-8 Foreign Ministers meeting on the Kosovo conflict and the G-8 and U.S.-EU Ministerial meetings; met with Kosovar political leaders.,Germany,"Bonn, Cologne",,sec-25,Madeleine Korbel Albright,2039,,,,,,,1,9.28642E+11,9.29074E+11,Sun Jun 06 1999 00:00:00 GMT-0400 (EDT),Fri Jun 11 1999 00:00:00 GMT-0400 (EDT),5
Germany,"Bonn, Cologne","June 6���11, 1999",Attended a G-8 Foreign Ministers meeting on the Kosovo conflict and the G-8 and U.S.-EU Ministerial meetings; met with Kosovar political leaders.,Germany,Bonn,,sec-25,Madeleine Korbel Albright,2040,50.73743,7.0982068,Bonn,Germany,1,1,,9.28642E+11,9.28814E+11,Sun Jun 06 1999 00:00:00 GMT-0400 (EDT),Tue Jun 08 1999 00:00:00 GMT-0400 (EDT),2
Germany,"Bonn, Cologne","June 6���11, 1999",Attended a G-8 Foreign Ministers meeting on the Kosovo conflict and the G-8 and U.S.-EU Ministerial meetings; met with Kosovar political leaders.,Germany,Cologne,,sec-25,Madeleine Korbel Albright,2041,50.937531,6.9602786,Cologne,Germany,1,1,,9.28814E+11,9.29074E+11,Tue Jun 08 1999 00:00:00 GMT-0400 (EDT),Fri Jun 11 1999 00:00:00 GMT-0400 (EDT),3
Belgium,Brussels,8-Jun-99,Briefed senior NATO officials on the Kosovo peace agreement.,Belgium,Brussels,,sec-25,Madeleine Korbel Albright,2042,50.8503463,4.3517211,,Belgium,1,,,9.28814E+11,9.28901E+11,Tue Jun 08 1999 00:00:00 GMT-0400 (EDT),Wed Jun 09 1999 00:00:00 GMT-0400 (EDT),1
"Macedonia, Former Yugoslav Republic of","Skopje, Stenkovec I",11-Jun-99,Visited a refugee camp and addressed U.S. military personnel.,"Macedonia, Former Yugoslav Republic of",Skopje,,sec-25,Madeleine Korbel Albright,2043,41.9973462,21.4279956,Skopje,Macedonia (FYROM),1,,,9.29074E+11,9.2916E+11,Fri Jun 11 1999 00:00:00 GMT-0400 (EDT),Sat Jun 12 1999 00:00:00 GMT-0400 (EDT),1
Finland,Helsinki,"June 17���18, 1999",Met with the Russian Foreign and Defense Ministers to discuss a Russian role in peacekeeping in Kosovo; met with President Atisaari.,Finland,Helsinki,,sec-25,Madeleine Korbel Albright,2044,60.1698557,24.938379,Helsinki,Finland,1,,,9.29592E+11,9.29678E+11,Thu Jun 17 1999 00:00:00 GMT-0400 (EDT),Fri Jun 18 1999 00:00:00 GMT-0400 (EDT),1
France,Paris,"June 19���20, 1999",Met with senior French officials.,France,Paris,,sec-25,Madeleine Korbel Albright,2045,48.856614,2.3522219,Paris,France,1,,,9.29765E+11,9.29851E+11,Sat Jun 19 1999 00:00:00 GMT-0400 (EDT),Sun Jun 20 1999 00:00:00 GMT-0400 (EDT),1
